id,category,name,rarity,value,size,boundary,堆叠数量
"0075","工具","生锈螺丝刀","白",16,"1x1","本品质最低",1
"0076","医疗用品","实验性细胞治疗剂","红",1284718,"1x1","本品质最低；本品质最高",1
"0077","医疗用品","便携超声仪","金",241683,"2x2","本品质最高",1
"0078","医疗用品","手术激光器","金",126843,"1x2","",1
"0079","医疗用品","稀有抗毒血清","金",86427,"1x1","本品质最低",1
"0080","医疗用品","诊断试剂盒","紫",49718,"2x2","本品质最高",1
"0081","医疗用品","缝合工具组","紫",45287,"1x1","",1
"0082","医疗用品","除颤器","紫",39618,"2x1","",1
"0083","医疗用品","电子血压仪","紫",27842,"1x1","",1
"0084","医疗用品","便携氧气瓶","紫",21684,"2x2","本品质最低",1
"0085","医疗用品","血糖仪","蓝",23761,"1x1","本品质最高",1
"0086","医疗用品","输液套装","蓝",17486,"1x2","",1
"0087","医疗用品","急救包","蓝",12947,"1x2","",1
"0088","医疗用品","消毒喷雾","蓝",7842,"1x1","",1
"0089","医疗用品","创伤敷料","蓝",5184,"1x1","",1
"0090","医疗用品","止痛药片","蓝",3087,"1x1","本品质最低",1
"0091","医疗用品","口服补液盐","白",291,"1x1","本品质最高",1
"0092","医疗用品","一次性注射器","白",156,"1x1","",1
"0093","医疗用品","酒精棉片","白",82,"1x1","",1
"0094","医疗用品","普通绷带","白",37,"1x1","",1
"0095","医疗用品","医用纱布","白",14,"1x1","本品质最低",1
"0096","食品","大桶饮用水","白",736,"2x2","本品质最高",1
"0097","食品","密封谷物袋","白",607,"1x2","",1
"0098","食品","食用油瓶","白",523,"1x1","",1
"0099","食品","家庭装矿泉水","白",480,"2x1","",1
"0100","食品","旅行口粮","白",420,"1x1","",1
"0101","食品","即食肉干","白",367,"1x1","",1
"0102","食品","冷藏便当","白",315,"1x2","",1
"0103","食品","自热米饭","白",286,"1x1","",1
"0104","食品","罐装浓汤","白",247,"1x1","",1
"0105","食品","大瓶装水","白",215,"1x2","",1
"0106","食品","饮用水袋","白",176,"1x1","",1
"0107","食品","速溶咖啡","白",148,"1x1","",1
"0108","食品","肉类罐头","白",121,"1x1","",1
"0109","食品","果汁盒","白",97,"1x1","",1
"0110","食品","袋装面包","白",83,"1x1","",1
"0111","食品","能量棒","白",67,"1x1","",1
"0112","食品","罐装汽水","白",48,"1x1","",1
"0113","食品","方便面","白",34,"1x1","",1
"0114","食品","压缩饼干","白",21,"1x1","",1
"0115","食品","瓶装水","白",13,"1x1","本品质最低",1
"0116","生活用品","高端旅行包","金",221678,"2x2","本品质最高",1
"0117","生活用品","奢侈皮包","金",112684,"1x2","本品质最低",1
"0118","生活用品","高端保温杯","紫",48917,"1x2","本品质最高",1
"0119","生活用品","旅行行李箱","紫",42618,"2x2","",1
"0120","生活用品","羽绒外套","紫",35382,"2x2","",1
"0121","生活用品","品牌手提包","紫",28734,"2x2","",1
"0122","生活用品","高档睡袋","紫",21467,"1x3","本品质最低",1
"0123","生活用品","防风外套","蓝",23719,"2x2","本品质最高",1
"0124","生活用品","皮质腰带","蓝",16841,"1x2","",1
"0125","生活用品","旅行枕","蓝",12486,"1x2","",1
"0126","生活用品","小型背包","蓝",10372,"2x2","",1
"0127","生活用品","折叠雨伞","蓝",7286,"1x2","",1
"0128","生活用品","手电筒","蓝",4914,"1x1","",1
"0129","生活用品","保温杯","蓝",3128,"1x2","本品质最低",1
"0130","生活用品","旧T恤","白",187,"1x2","本品质最高",1
"0131","生活用品","洗衣皂","白",126,"1x1","",1
"0132","生活用品","手巾","白",78,"1x2","",1
"0133","生活用品","牙刷","白",45,"1x1","",1
"0134","生活用品","塑料梳子","白",26,"1x1","",1
"0135","生活用品","卷纸","白",13,"1x1","本品质最低",1
"0136","物料","通用零件","蓝",16937,"1x1","本品质最高",1
"0137","物料","金属板","蓝",11246,"2x1","",1
"0138","物料","塑料板","蓝",7284,"2x1","",1
"0139","物料","铜线束","蓝",4896,"1x2","",1
"0140","物料","金属碎料","蓝",3018,"1x1","本品质最低",1
"0141","物料","基础布料","白",157,"1x2","本品质最高",1
"0142","物料","废塑料","白",83,"1x1","",1
"0143","物料","碎石","白",46,"1x1","",1
"0144","物料","木料","白",29,"1x2","",1
"0145","物料","废旧纸板","白",13,"1x1","本品质最低",1
